city,n_raw,n_stations,n_hour_bins,pseudo_trips_total,pseudo_trips_mean_per_hour,snapshot_span_h,elapsed_s
CVelo_FR_Clermont-Ferrand,39278,82,738,119,0.16124661246612465,8.011266383888888,0.1
Optymo_Belfort_ALS,24908,52,468,15,0.03205128205128205,8.011360585833334,0.0
Paris,806874,1511,16621,14117,0.849347211359124,10.821431539444445,0.2
amiens,23805,45,495,237,0.47878787878787876,10.821450739722222,0.0
auxrmlevelo,26345,55,495,236,0.4767676767676768,8.011265760833334,0.0
beb,21555,45,405,124,0.30617283950617286,8.011361130277777,0.0
besancon,1650,33,66,28,0.42424242424242425,0.8167368605555555,0.0
calais-velos,38320,80,720,48,0.06666666666666667,8.011379555,0.0
capcotentin,23471,49,441,143,0.3242630385487528,8.011266382777778,0.0
cergy,23805,45,495,0,0.0,10.82132401472222,0.0
citiz_alpes_loire,194953,407,3663,0,0.0,8.01126653138889,0.1
citiz_angers,12454,26,234,0,0.0,8.011266957222222,0.0
citiz_bfc,26345,55,495,0,0.0,8.011267213611111,0.0
citiz_grand_est,136036,284,2556,0,0.0,8.011267788888889,0.0
citiz_grand_poitiers,10538,22,198,0,0.0,8.011268318055555,0.0
citiz_la_rochelle,11496,24,216,0,0.0,8.011268826666667,0.0
citiz_occitanie,61312,128,1152,0,0.0,8.011269010833333,0.0
citiz_rennes_metropole,26345,55,495,0,0.0,8.011269746944444,0.0
donkey_brest,35925,75,675,0,0.0,8.011270068055556,0.0
donkey_valenciennes,19160,40,360,2,0.005555555555555556,8.011314325555556,0.0
idecycle_pau,19160,40,360,202,0.5611111111111111,8.011322149722222,0.0
inurba-rouen,69299,131,1441,343,0.238029146426093,10.821537553888888,0.0
le_velo_star,30153,57,627,346,0.5518341307814992,10.82159361361111,0.0
levelo_inurba_marseille,117521,223,2453,2469,1.0065226253567061,10.821560292500001,0.1
libelo,32572,68,612,62,0.10130718954248366,8.011356224444445,0.0
lyon,241902,453,4983,5601,1.124021673690548,10.821379519722221,0.1
montpellier,27984,53,583,30,0.051457975986277875,10.821172063888888,0.0
nancy,19573,37,407,183,0.44963144963144963,10.821220732222221,0.0
nantes,65067,123,1353,386,0.2852919438285292,10.821521253611111,0.0
nextbike_af,32269,61,671,109,0.16244411326378538,10.821248618333332,0.0
semo,19160,40,360,4,0.011111111111111112,8.0113642925,0.0
tanlib,24429,51,459,138,0.3006535947712418,8.011399425833334,0.0
toulouse,229152,434,4774,3832,0.802681189777964,10.821163673055556,0.1
twisto_velolib_caen,35925,75,675,425,0.6296296296296297,8.011350352222223,0.0
v_lille,141243,267,2937,972,0.33094994892747703,10.821488589722222,0.0
velibeo,12454,26,234,37,0.1581196581196581,8.011397174166666,0.0
velivert_saint_etienne,51216,97,1067,970,0.9090909090909091,10.821391569722222,0.0
velo-tbm-bordeaux,119025,225,2475,704,0.28444444444444444,10.821636074444443,0.0
velonecy60minutes_annecy,42320,80,880,473,0.5375,10.821200526944445,0.0
velopop,13891,29,261,333,1.2758620689655173,8.011407906111112,0.0
velozef,21648,41,451,398,0.8824833702882483,10.8211827025,0.0
vilvolt_epinal,50774,106,954,469,0.4916142557651992,8.011389409166666,0.0
zebullo,33264,63,693,255,0.36796536796536794,10.821186795000001,0.0
