feature,importance
network_volume,45227.95785097778
elevation_m,31163.466730177402
network_gini,20524.93745932728
hour,15643.10967733711
topography_roughness_index,14484.85000409931
infra_cyclable_km,12491.230724260211
network_entropy,12143.184708960354
gtfs_heavy_stops_300m,8283.115369856358
n_stations_within_1km,6424.327180154622
month,3826.2910665497184
temperature,3135.3408978134394
day_of_week,2884.862460657954
n_stations_within_500m,2447.9125112593174
feels_like,2309.965736992657
humidity,2136.2005892917514
wind_speed,2012.1592875868082
cloud_cover,1192.9116754084826
season,510.75713827461004
precipitation,267.2018601745367
revenu_median_uc,112.90700340270996
bad_weather_score,73.46383133530617
part_menages_voit0,22.257699966430664
is_raining,0.0
gtfs_stops_within_300m_pct,0.0
infra_cyclable_pct,0.0
catchment_density_per_km2,0.0
revenu_d1,0.0
part_velo_travail,0.0
